municipality,id,id_new,muni_type,gnis_id,county,outer,rr1,muni_type_numeric,marcellus,utica,population,land_area,density,high_school,unemployment,homeownership,inner,percap_acs,median_household,median_family,opponent,proponent,entrepreneurship,contested_entrepreneurship,entrepreneurship_binary,opponent_binary,proponent_binary,oban,omoratorium,ozoningpreventing,ozoningallowing,oroaduse,operformance,oresolutionopposing,onolease,oidontknow,oother,o_verballorwritten,obefore2008,o2008,o2009,o2010,o2011,o2012,o2013,o2014,o_dontknowyear,o_activitylevel5,o_controversy6,o_knowledge7,o_wellregarded8,o_livework9,o_otherissues10,o_occupation10,ooppositionretired,o_success12,o_binaryog12,oogmunicipalitybased,oogpublic,ooglandownercoalition,o_letteremail13,o_petitiom13,o_publicmtg13,o_officialsmuni13,o_officialsoutside13,o_orggroup13,o_presentation13,o_protest13,idontknow,o_other13,o_verbalwritten13,o_people14,o_officialsmunicipality_14,o_officialsregion14,o_prominentmunicipality14,oprominentregion,o_friendly14,o_wellrespected14,o_informedgovernment14,o_informedfracking14,o_time14,o_money14,pmoratorium,pzoningfacilitating,proaduse,pperformance,presolution,ppermittesting,please,pidontknow,pother,pverbalorwritten,pinaction,pbefore2008,p2008,p2009,p2010,p2011,p2012,p2013,p2014,p_dontknow_16,p_activitylevel17,p_controversy18,p_knowledge19,p_wellregarded20,p_livework21,p_otherissues22,p_occupation23,pretired,p_success24,p_binaryog26,pogmunicipalitybased,pogenergyco,pogpublic,poglandownercoalition,p_letteremail26,p_petition26,p_publicmtg26,p_officialsmuni26,p_officialsoutside26,p_orggroup26,p_presentation26,p_protest26,p_dontknow_26,p_other_26,p_verbalorwritten_26,ppeople,p_officialsmunicipality_27,pofficialsregion,pprominentmunicipality,pprominentregion,pfriendly,pwellrespected,pinformedgovernment,pinformedfracking,ptime,pmoney,view_self28,view_others29,change_others30,view_legislators31,change_legislators32,view_chief33,change_chief34,gender,age,years,education,othercompleted,duplicatemerge,shales,shalelayers,ambiguity_otherviews,ambiguity_changeotherviews,ambiguity_viewlegislators,ambiguity_changelegislators,ambiguity_viewchief,ambiguity_changechief,sum_ambiguity,sum_ambiguity_views,sum_ambiguity_change,nodatami2,agmi2,pasturemi2,forestmi2,urbanmi2,watermi2,o_controversy_split,p_controversy_split,ag_pasture,ag_pasture_forest,view_others_binary,view_legislators_binary,view_chief_binary,positive_comm_change,negative_comm_change,positive_leg_change,negative_leg_change,positive_chief_change,negative_chief_change,community_view_sum,community_trends_positive_sum,community_trends_negative_sum,view_self_binary,county_numeric,o_time14_binary,o_money14_binary,o_informedfracking14_binary,o_informedgovernment14_binary,o_wellrespected14_binary,o_friendly14_binary,o_prominentregion14_binary,o_prominentmunicipality14_binary,o_officialsregion14_binary,o_officialsmunicipality14_binary,p_time27_binary,p_money27_binary,p_informedfracking27_binary,p_informedgovernment27_binary,p_wellrespected27_binary,p_friendly27_binary,p_prominentregion27_binary,p_prominentmunicipality27_binary,p_officialsregion27_binary,p_officialsmunicipality27_binary,o_people14_binary,p_people27_binary,revenue_08,revenue_09,revenue_10,revenue_11,revenue_12,averagerevenues,percapitaaveragerevenue,number_activities,total_proponent_activities,total_opponent_activities,thousands_averagerevenue,percap_thousands,log_revenue,all_orgs,environmental_orgs,obama08,obama12,urbanpct,dem,wells,wells19902007,allproduction0812,one policy ,multi policies,1st ,2nd ,3rd ,4th,5th,6th,7th,number adopted anti,county A,county B,county C,year,policytype,policysubtype,stanceie,Month first anti,Start of year,Day of passage,Day subtract,Landowner Coalition?,Count of all post secondary Institutions,Count of institutions that offer at least a Bachelor's degree,dist_pa,dist_hway,waterwell_count,Matches Ban 0812,Matches Road 0812,Matches Moratoriums 0812,Matches Bans 0307,Matches Road 0307,Matches Moratoriums 0307,Matches Sustainability 0812,Matches Tourism 0812,Matches Sustainability 0307,Local government as involved agencies,,,,
Union,118,118,town,979572,Broome,0,0,town,1,1,56346,35.5,1589.4,90.9,0.07,0.615548,0,26361,34101,46170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.02085,3.1594,0.465292,16.1188,8.01212,0.449655,,,3.62469,19.7435,,,,0,0,0,0,0,0,,0,0,,Broome,,,,,,,,,,,,,,,,,,,,,,,1.70E+07,1.70E+07,1.70E+07,1.70E+07,1.70E+07,1.70E+07,303.99,,,,17128.8,26.361,9.74852,0,0,52.8,51.3,0.225694,52.05,2,2,0,,,,,,,,,,,Broome,Broome,Broome,,,,,,,,,1,0,0,14120.06781,9000,40,,7,1,,8,,2,1,,,,,,
Union Vale,1385,1385,town,979573,Dutchess,0,1,town,0,0,4877,37.5,130.1,93.3,0.054,0.799763,0,33047,70500,72697,1,1,2,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,3,1,1,2,1,1,3,0,,,,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,6,3,1,1,2,4,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,3,3,4,3,4,3,4,2,7,4,3,,,0,0,1,0,1,0,1,0,3,3,0,0.044131,7.08119,0.960468,26.4612,2.01997,0.767262,2,0,8.04166,34.5028,0,0,0,0,0,0,0,0,0,0,0,0,0,Dutchess,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,2.20E+06,2.10E+06,2.30E+06,2.40E+06,2.90E+06,2.40E+06,483.3,1,0,1,2357.06,33.047,7.76517,0,0,42.8,41,0.053866,41.9,0,0,0,,,,,,,,,,,Dutchess,Dutchess,Dutchess,,,,,,,,,0,0,0,91279.2976,16200,170,,10,,,3,2,1,,,,,,,
Urbana,1058,1058,town,979574,Steuben,0,0,town,1,1,2343,40.9,57.2,90.5,0.07,0.752536,0,27369,39184,43309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.070888,6.56829,1.28468,30.637,1.62418,3.59307,,,7.85297,38.4899,,,,0,0,0,0,0,0,,0,0,,Steuben,,,,,,,,,,,,,,,,,,,,,,,1.50E+06,1.50E+06,1.50E+06,1.50E+06,1.00E+06,1.40E+06,603.59,,,,1414.22,27.369,7.25433,0,0,42.2,45.1,0.039711,43.65,10,3,1,,,,,,,,,,,Steuben,Steuben,Steuben,,,,,,,,,1,0,0,45688.84911,11000,75,,5,,,1,3,,,,,,,,
Van Buren,11,11,town,979576,Onondaga,0,1,town,0,1,13185,35.4,372.4,91.3,0.034,0.64361,0,27466,43003,50724,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,3,3,2,2,0,,3,0,,,,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,2,4,2,4,1,5,4,5,,,1,1,1,0,0,0,0,0,1,1,0,0.079576,13.1279,0.510813,11.6973,5.29682,4.08442,1,,13.6387,25.336,0,1,1,0,0,0,0,0,0,2,0,0,1,Onondaga,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,1,,4.90E+06,5.00E+06,5.20E+06,5.70E+06,4.90E+06,5.20E+06,391.57,7,,5,5162.81,27.466,8.54924,0,0,52,53,0.149628,52.5,15,2,0,,,,,,,,,,,Onondaga,Onondaga,Onondaga,,,,,,,,,0,0,0,124913.0202,3550,65,,10,,,13,,,,,,,,,
Van Etten,1100,1100,town,979577,Chemung,0,0,town,1,1,1557,41.4,37.6,82.8,0.116,0.807322,0,20043,32011,38462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.002085,4.43678,0.818691,34.0765,1.16827,0.235947,,,5.25547,39.3319,,,,0,0,0,0,0,0,,0,0,,Chemung,,,,,,,,,,,,,,,,,,,,,,,981509,1.10E+06,1.20E+06,1.10E+06,1.10E+06,1.10E+06,691.44,,,,1076.57,20.043,6.98154,0,0,39.6,42.7,0.028219,41.15,25,11,10,,1,1,,,,,,,,Chemung,Chemung,Chemung,2012,3,4,Pro,5,1/1/2012,5/10/2012,130,1,0,0,23474.69908,20000,66,,,,,,,,,,,,,,
Van Etten,1100,1100,town,979577,Chemung,0,0,town,1,1,1557,41.4,37.6,82.8,0.116,0.807322,0,20043,32011,38462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.002085,4.43678,0.818691,34.0765,1.16827,0.235947,,,5.25547,39.3319,,,,0,0,0,0,0,0,,0,0,,Chemung,,,,,,,,,,,,,,,,,,,,,,,981509,1.10E+06,1.20E+06,1.10E+06,1.10E+06,1.10E+06,691.44,,,,1076.57,20.043,6.98154,0,0,39.6,42.7,0.028219,41.15,25,11,10,,1,,1,,,,,,,Chemung,Chemung,Chemung,2012,3,4,Pro,7,1/1/2012,7/12/2012,193,1,0,0,23474.69908,20000,66,,,,,,,,,,,,,,
Van Etten,1100,1100,town,979577,Chemung,0,0,town,1,1,1557,41.4,37.6,82.8,0.116,0.807322,0,20043,32011,38462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.002085,4.43678,0.818691,34.0765,1.16827,0.235947,,,5.25547,39.3319,,,,0,0,0,0,0,0,,0,0,,Chemung,,,,,,,,,,,,,,,,,,,,,,,981509,1.10E+06,1.20E+06,1.10E+06,1.10E+06,1.10E+06,691.44,,,,1076.57,20.043,6.98154,0,0,39.6,42.7,0.028219,41.15,25,11,10,,1,,,1,,,,,,Chemung,Chemung,Chemung,2012,3,4,Pro,9,1/1/2012,9/13/2012,256,1,0,0,23474.69908,20000,66,,,,,,,,,,,,,,
Varick,972,972,town,979578,Seneca,0,0,town,1,1,1857,32,58,88.9,0.069,0.822222,0,25477,40110,43917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.01251,18.465,1.2753,8.25954,2.4321,15.1823,,,19.7403,27.9999,,,,0,0,0,0,0,0,,0,0,,Seneca,,,,,,,,,,,,,,,,,,,,,,,1.10E+06,1.00E+06,1.20E+06,1.30E+06,1.20E+06,1.20E+06,624.11,,,,1158.97,25.477,7.05529,0,0,44.2,47,0.076003,45.6,82,5,20,,,,,,,,,,,Seneca,Seneca,Seneca,,,,,,,,,0,0,0,86614.50419,20300,34,,,,,2,2,,,2,,,,,
Venice,103,103,town,979579,Cayuga,0,0,town,1,1,1368,41.1,33.3,89.4,0.054,0.848018,0,23984,41184,44375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.045869,27.4453,0.732861,10.3615,1.06263,1.62209,,,28.1781,38.5396,,,,0,0,0,0,0,0,,0,0,,Cayuga,,,,,,,,,,,,,,,,,,,,,,,801846,837041,814497,954809,938885,869416,635.54,,,,869.416,23.984,6.76782,0,0,45.5,45,0.025855,45.25,10,4,0,,,,,,,,,,,Cayuga,Cayuga,Cayuga,,,,,,,,,0,0,0,79962.71398,30900,65,,,,,1,,1,,1,,,,,
Vernon,253,253,town,979580,Oneida,0,0,town,0,1,5408,37.8,143,91.6,0.061,0.79255319,0,26685,38339,44951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0.01529,16.6244,1.74893,15.544,1.77151,0.919464,,,18.37329,33.9173,,,,0,0,0,0,0,0,,0,0,,Oneida,,,,,,,,,,,,,,,,,,,,,,,1828971,1.50E+06,1.60E+06,1497518,1657043,1.60E+06,297.31,,,,1607.871,26.685,7.382666,0,0,41.6,42.1,0.046865,41.85,2,1,0,,,,,,,,,,,Oneida,Oneida,Oneida,,,,,,,,,0,0,0,118765.7616,7030,137,,2,,,,,,1,,,,,,
Verona,44,44,town,979581,Oneida,0,1,town,0,1,6293,69.2,90.9,93.1,0.083,0.825043,0,23281,42745,47951,1,2,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,6,3,3,0,,4,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,6,3,3,0,,4,0,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,0,0,0,0,0.026062,23.0398,1.64259,34.9942,3.84743,6.03559,0,0,24.6824,59.6765,0,0,0,0,0,0,0,0,0,0,0,0,0,Oneida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10E+06,3.00E+06,3.10E+06,3.50E+06,3.50E+06,3.20E+06,514.17,1,0,0,3235.69,23.281,8.082,0,0,39.3,38.8,0.055599,39.05,2,0,0,1,,1,,,,,,,1,Oneida,Oneida,Oneida,2012,1,2,Anti,3,1/1/2012,3/5/2012,64,0,1,0,129178.7791,3770,171,,2,1,,3,,,,,,,,,
Vestal,434,434,town,979582,Broome,0,1,town,1,1,28043,51.7,542,94.3,0.082,0.799645,0,27223,51098,60676,1,1,2,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,3,1,1,0,,3,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,2,3,1,2,0,,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,3,3,4,1,4,1,4,1,5,1,7,,,1,2,1,0,0,0,0,0,1,1,0,0.028842,4.14037,0.523323,38.8399,7.98224,1.10016,1,1,4.66369,43.5036,0,1,1,0,0,0,0,0,0,2,0,0,0,Broome,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,2.10E+07,2.10E+07,2.10E+07,2.40E+07,2.50E+07,2.20E+07,794.83,10,3,7,22289.3,27.223,10.0119,2,0,54.4,52.2,0.154395,53.3,1,0,2,,,,,,,,,,,Broome,Broome,Broome,,,,,,,,,1,0,0,5566.10002,7150,87,,11,,,18,,2,,,,,,,
Veteran,1079,1079,town,979583,Chemung,0,0,town,1,1,3313,38.3,86.4,92.5,0.066,0.923973,0,29926,44521,50972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.010772,11.8189,1.45391,21.7825,2.31082,0.606373,,,13.2728,35.0553,,,,0,0,0,0,0,0,,0,0,,Chemung,,,,,,,,,,,,,,,,,,,,,,,1.10E+06,1.10E+06,1.40E+06,1.60E+06,1.50E+06,1.30E+06,403.78,,,,1337.71,29.926,7.19872,0,0,36.5,37.8,0.060335,37.15,27,18,0,,,,,,,,,,,Chemung,Chemung,Chemung,,,,,,,,,1,0,0,27192.89531,10200,89,,4,,,2,1,1,,,,,,,
Victor,987,987,town,979584,Ontario,0,0,town,1,1,14275,35.9,397.4,97.7,0.05,0.853395,0,41560,59349,71526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.00973,0.188341,0.023629,0.396488,0.73564,0.028842,,,0.21197,0.608458,,,,0,0,0,0,0,0,,0,0,,Ontario,,,,,,,,,,,,,,,,,,,,,,,1.30E+06,3.10E+06,1.20E+06,3.00E+06,3.10E+06,2.30E+06,863.8,,,,2328.79,41.56,7.75311,0,0,46.9,43,0.525458,44.95,0,0,0,,,,,,,,,,,Ontario,Ontario,Ontario,,,,,,,,,0,0,0,110028.0983,1250,79,,17,3,1,19,1,,,,,,,,
Victory,99,99,town,979585,Cayuga,0,0,town,0,1,1660,34.4,48.3,87.2,0.101,0.893668,0,19626,38672,41680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0,0.039614,0.005907,0.230735,0.21058,0.045174,,,0.045521,0.276256,,,,0,0,0,0,0,0,,0,0,,Cayuga,,,,,,,,,,,,,,,,,,,,,,,463080,476219,458951,464692,446547,461898,763.47,0,,,461.898,19.626,6.13534,0,0,50.6,51.4,0.42116,51,0,0,0,,,,,,,,,,,Cayuga,Cayuga,Cayuga,,,,,,,,,0,0,0,134230.3374,17600,33,,1,,,3,,,,2,,,,,
Vienna ,84,84,town,979586,Oneida,0,0,town,0,1,5440,61.4,88.5,81.3,0.075,0.880677,0,24832,36250,43871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0.01529,6.29586,0.233167,49.7855,1.13734,36.9506,,,6.52903,56.3145,,,,0,0,0,0,0,0,,0,0,,Oneida,,,,,,,,,,,,,,,,,,,,,,,2.30E+06,1.90E+06,2.20E+06,2.40E+06,2.30E+06,2.20E+06,406.77,,,,2212.83,24.832,7.70203,0,0,41.2,42,0.018523,41.6,0,0,0,1,,1,,,,,,,1,Oneida,Oneida,Oneida,2012,1,2,Anti,7,1/1/2012,7/11/2012,192,0,0,0,137560.4696,15300,86,,2,1,,1,,3,,,,,,,
Villenova,772,772,town,979587,Chautauqua,0,0,town,1,1,1110,36.1,30.8,90,0.1,0.849537,0,22123,35208,39125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.006602,14.6082,1.42055,18.5981,1.09634,0.553207,,,16.0288,34.6269,,,,0,0,0,0,0,0,,0,0,,Chautauqua,,,,,,,,,,,,,,,,,,,,,,,635926,527420,569552,608247,650067,598242,538.96,,,,598.242,22.123,6.394,0,0,45.2,44.5,0.030369,44.85,155,9,45,,,,,,,,,,,Chautauqua,Chautauqua,Chautauqua,,,,,,,,,0,0,0,43764.34576,14000,67,,1,,,3,1,,,,,,,,
Virgil,39,39,town,979588,Cortland,0,0,town,1,1,2401,47.4,50.7,91.9,0.038,0.869565,0,27633,42292,45402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.00834,12.8593,2.50159,29.0621,2.22986,0.747108,,,15.3609,44.423,,,,0,0,0,0,0,0,,0,0,,Cortland,,,,,,,,,,,,,,,,,,,,,,,1.40E+06,1.50E+06,1.60E+06,1.80E+06,1.70E+06,1.60E+06,658.87,,,,1581.95,27.633,7.36641,0,0,46.5,47.6,0.047043,47.05,5,4,2,,1,1,,,,,,,2,Cortland,Cortland,Cortland,2010,1,9,Anti,4,1/1/2010,4/8/2010,97,0,0,0,57495.76561,6610,150,,3,,,1,,1,,1,,,,,
Virgil,39,39,town,979588,Cortland,0,0,town,1,1,2401,47.4,50.7,91.9,0.038,0.869565,0,27633,42292,45402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.00834,12.8593,2.50159,29.0621,2.22986,0.747108,,,15.3609,44.423,,,,0,0,0,0,0,0,,0,0,,Cortland,,,,,,,,,,,,,,,,,,,,,,,1.40E+06,1.50E+06,1.60E+06,1.80E+06,1.70E+06,1.60E+06,658.87,,,,1581.95,27.633,7.36641,0,0,46.5,47.6,0.047043,47.05,5,4,2,,1,,1,,,,,,2,Cortland,Cortland,Cortland,2010,1,7,Anti,4,1/1/2010,4/8/2010,97,0,0,0,57495.76561,6610,150,,3,,,1,,1,,1,,,,,
Volney,56,56,town,979589,Oswego,0,1,town,0,1,5926,48.2,122.8,84.8,0.11,0.844907,0,24070,43532,46408,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,5,7,5,6,4,2,7,4,2,,,1,1,0,0,0,0,0,0,0,0,0,0.12475,6.74239,0.4434,30.1807,3.48256,8.26405,,,7.18579,37.3665,0,0,0,0,0,0,0,0,0,0,0,0,0,Oswego,,,,,,,,,,,,,,,,,,,,,,,2.10E+06,2.20E+06,2.90E+06,3.00E+06,2.20E+06,2.50E+06,420.37,0,,,2491.13,24.07,7.82049,0,0,44.6,48.4,0.072252,46.5,15,0,0,,,,,,,,,,,Oswego,Oswego,Oswego,,,,,,,,,0,0,0,151440.2532,20300,66,,1,,,1,,,,,,,,,
Waddington,354,354,town,979590,St Lawrence,0,0,town,0,0,2266,51.6,43.9,94.3,0.076,0.743151,0,24021,35952,42357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0.000695,0.586914,0.015637,0.777687,0.558767,0.468419,,,0.602551,1.38024,,,,0,0,0,0,0,0,,0,0,,St Lawrence,,,,,,,,,,,,,,,,,,,,,,,1.20E+06,1.10E+06,1.10E+06,1.10E+06,1.10E+06,1.10E+06,1175.94,,,,1143.01,24.021,7.04142,0,0,56.6,55,0.253985,55.8,0,0,0,,,,,,,,,,,St Lawrence,St Lawrence,St Lawrence,,,,,,,,,0,0,0,315696.4649,82600,46,,,,,,,,,1,,,,,
Wales ,1519,1519,town,979591,Erie,0,0,town,1,1,3005,35.6,84.4,93.2,0.078,0.860749,0,27752,51486,59350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.023629,10.4585,0.704366,22.5088,1.45391,0.520195,,,11.1628,33.6716,,,,0,0,0,0,0,0,,0,0,,Erie,,,,,,,,,,,,,,,,,,,,,,,1.20E+06,1.20E+06,1.20E+06,1.20E+06,1.20E+06,1.20E+06,399,,,,1199,27.752,7.08924,0,0,40.1,37.2,0.04084,38.65,134,1,109,,1,1,,,,,,,2,Erie,Erie,Erie,2011,1,2,Anti,5,1/1/2011,5/10/2011,129,0,0,0,82117.67973,23800,163,1,6,2,,2,,2,,,,,,,
Wales ,1519,1519,town,979591,Erie,0,0,town,1,1,3005,35.6,84.4,93.2,0.078,0.860749,0,27752,51486,59350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.023629,10.4585,0.704366,22.5088,1.45391,0.520195,,,11.1628,33.6716,,,,0,0,0,0,0,0,,0,0,,Erie,,,,,,,,,,,,,,,,,,,,,,,1.20E+06,1.20E+06,1.20E+06,1.20E+06,1.20E+06,1.20E+06,399,,,,1199,27.752,7.08924,0,0,40.1,37.2,0.04084,38.65,134,1,109,,1,,1,,,,,,2,Erie,Erie,Erie,2011,1,1,Anti,6,1/1/2011,6/14/2011,164,0,0,0,82117.67973,23800,163,1,6,2,,2,,2,,,,,,,
Wallkill,1190,1190,town,979592,Orange,0,0,town,0,1,27426,62.1,441.6,87.4,0.09,0.625425,0,29627,51625,57088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0.063244,10.0721,0.270001,33.5743,11.7675,7.00092,,,10.3421,43.9164,,,,0,0,0,0,0,0,,0,0,,Orange,,,,,,,,,,,,,,,,,,,,,,,2.30E+07,2.50E+07,2.30E+07,2.50E+07,2.60E+07,2.50E+07,895.64,,,,24563.9,29.627,10.109,0,0,59.3,60.3,0.189492,59.8,0,0,0,,,,,,,,,,,Orange,Orange,Orange,,,,,,,,,0,0,0,28136.12591,12.6,490,,13,3,,17,6,1,,,,,,,
